"guilty","ad.","responsible for a bad action"
"gun","n.","a weapon that shoots bullets"
"half","n.","one of two equal parts of something"
"halt","v.","to come or cause to come to a stop"
"halt","v.","to stop"
"hang","v.","to place something so the highest part is supported and the lower part is not"
"hang","v.","to kill by hanging"
"happen","v.","to become a fact or event"
"happen","v.","to take place"
"happy","ad.","pleased"
"happy","ad.","satisfied"
"happy","ad.","feeling good"
"happy","ad.","not sad"
"hard","ad.","not easily cut or broken"
"hard","ad.","solid"
"hard","ad.","difficult to do or understand"
"hard","ad.","needing much effort or force"
"harm","n.","damage"
"harm","n.","hurt"
"harm","v.","to injure"
"harm","v.","to damage"
"harvest","n.","the crop after it is gathered"
"harvest","v.","to gather crops"
"hat","n.","a head cover"
